date,high_temp,low_temp,rain,pressure,wind_speed,humidity,cloudcover,avg_temp
2022-04-11,32.0,16.7,0.0,1009.3874999999999,11.604166666666666,71.16666666666667,31.458333333333332,24.35
2022-04-12,31.1,16.0,0.4,1008.3083333333334,13.575000000000001,75.41666666666667,88.625,23.55
2022-04-13,16.9,13.5,111.5,1008.2791666666667,25.4375,90.54166666666667,100.0,15.2
2022-04-14,17.7,12.6,0.1,1016.1125000000001,21.370833333333334,86.875,100.0,15.149999999999999
2022-04-15,17.0,9.5,0.0,1020.8416666666667,18.133333333333333,68.75,98.04166666666667,13.25
2022-04-16,16.0,7.8,0.0,1020.6833333333334,11.491666666666667,66.95833333333333,80.29166666666667,11.9
2022-04-17,17.4,11.5,0.0,1019.7416666666667,7.991666666666667,61.583333333333336,94.04166666666667,14.45
2022-04-18,19.0,8.8,0.0,1018.9583333333334,5.566666666666666,73.16666666666667,68.875,13.9
2022-04-19,21.3,11.5,0.7,1018.0458333333332,7.4624999999999995,71.125,23.708333333333332,16.4
2022-04-20,24.4,13.8,2.6,1013.5833333333334,15.083333333333334,67.45833333333333,78.125,19.1
2022-04-21,25.2,15.3,0.0,1011.1999999999999,14.216666666666667,72.625,39.125,20.25
2022-04-22,27.6,18.8,8.5,1010.2166666666667,10.283333333333333,77.04166666666667,100.0,23.200000000000003
2022-04-23,20.1,14.0,7.5,1010.0291666666667,9.270833333333334,92.25,94.33333333333333,17.05
2022-04-24,23.8,16.0,0.0,1009.1208333333334,12.987499999999999,86.875,73.625,19.9
2022-04-25,26.6,19.7,16.3,1002.7166666666667,15.625,88.79166666666667,100.0,23.15
2022-04-26,23.0,14.2,3.0,1008.9708333333333,13.504166666666668,88.875,88.875,18.6
2022-04-27,18.9,13.5,0.3,1015.7624999999999,16.5125,70.83333333333333,93.875,16.2
2022-04-28,20.1,12.7,17.2,1012.3666666666667,17.974999999999998,85.70833333333333,92.75,16.4
2022-04-29,17.0,10.0,0.0,1019.0666666666666,13.979166666666666,76.29166666666667,82.33333333333333,13.5
2022-04-30,17.2,10.7,0.0,1018.85,9.700000000000001,74.625,97.33333333333333,13.95
2022-05-01,18.3,10.2,0.0,1017.9708333333333,9.016666666666667,72.08333333333333,97.125,14.25
2022-05-02,23.3,12.5,0.0,1017.9125,7.579166666666667,66.0,78.41666666666667,17.9
2022-05-03,25.5,12.8,0.0,1018.9041666666667,9.641666666666667,63.666666666666664,49.75,19.15
2022-05-04,24.6,12.5,0.0,1017.025,13.325000000000001,67.125,1.1666666666666667,18.55
2022-05-05,25.6,14.4,0.0,1014.2541666666666,13.295833333333334,78.375,4.583333333333333,20.0
2022-05-06,28.1,17.5,0.0,1013.6999999999999,11.070833333333333,81.20833333333333,55.041666666666664,22.8
2022-05-07,23.0,14.1,0.3,1017.6708333333332,14.487499999999999,84.70833333333333,81.0,18.55
2022-05-08,22.2,14.1,0.0,1016.5124999999999,13.120833333333332,70.25,16.416666666666668,18.15
2022-05-09,20.4,15.2,0.7,1015.7333333333332,10.575000000000001,69.83333333333333,78.75,17.799999999999997
2022-05-10,22.4,15.8,0.2,1012.4708333333333,10.608333333333333,79.375,88.08333333333333,19.1
2022-05-11,22.2,17.7,0.0,1012.4625,13.391666666666666,81.04166666666667,91.79166666666667,19.95
2022-05-12,21.0,15.9,12.4,1009.9666666666667,12.4125,87.375,100.0,18.45
2022-05-13,18.2,12.6,1.2,1012.1750000000001,14.0625,82.95833333333333,59.125,15.399999999999999
2022-05-14,20.8,13.3,0.3,1016.9541666666668,10.020833333333334,66.41666666666667,92.125,17.05
2022-05-15,21.8,13.6,0.0,1016.0124999999999,8.420833333333333,63.958333333333336,97.66666666666667,17.7
2022-05-16,24.7,13.7,0.0,1014.2833333333333,8.825000000000001,61.208333333333336,38.875,19.2
2022-05-17,26.6,14.2,0.0,1015.975,12.758333333333333,51.416666666666664,36.125,20.4
2022-05-18,26.2,16.4,0.5,1017.8458333333333,13.420833333333334,50.791666666666664,94.83333333333333,21.299999999999997
2022-05-19,22.3,17.3,4.0,1014.3249999999999,9.333333333333334,77.66666666666667,100.0,19.8
2022-05-20,21.7,15.3,0.5,1010.8416666666667,6.870833333333334,87.375,91.16666666666667,18.5
2022-05-21,24.5,15.0,0.5,1010.6958333333333,8.783333333333333,80.08333333333333,78.91666666666667,19.75
2022-05-22,26.7,18.2,0.0,1009.8874999999999,13.458333333333334,61.708333333333336,97.45833333333333,22.45
2022-05-23,26.1,16.2,0.0,1012.4625,14.170833333333334,71.95833333333333,61.125,21.15
2022-05-24,20.6,16.2,3.1,1012.2708333333334,11.533333333333333,86.45833333333333,90.5,18.4
2022-05-25,25.4,16.2,0.0,1009.1708333333332,7.479166666666667,77.5,82.79166666666667,20.799999999999997
2022-05-26,24.9,17.0,4.4,1006.6666666666666,6.6125,82.08333333333333,93.83333333333333,20.95
2022-05-27,28.1,20.1,0.5,1005.6416666666668,10.283333333333333,69.58333333333333,99.875,24.1
2022-05-28,23.7,19.1,8.6,1004.2166666666667,14.104166666666666,84.08333333333333,99.79166666666667,21.4
2022-05-29,26.6,21.0,17.0,1001.1958333333333,9.833333333333334,89.91666666666667,71.875,23.8
2022-05-30,29.1,15.1,1.3,1006.9875000000001,11.779166666666667,75.25,79.125,22.1
2022-05-31,26.8,19.5,2.7,1007.0916666666667,13.820833333333333,68.375,86.375,23.15
2022-06-01,29.3,19.9,0.3,1004.3458333333333,9.012500000000001,84.79166666666667,93.83333333333333,24.6
2022-06-02,28.6,20.5,0.2,1005.7333333333332,14.266666666666666,85.75,71.91666666666667,24.55
2022-06-03,26.3,21.8,1.7,1005.3291666666668,17.995833333333334,88.41666666666667,100.0,24.05
2022-06-04,27.9,23.7,9.5,1001.15,12.204166666666666,88.79166666666667,99.5,25.799999999999997
2022-06-05,26.0,20.2,43.2,999.2041666666668,12.058333333333332,91.58333333333333,99.08333333333333,23.1
2022-06-06,30.6,21.1,0.3,1002.4875000000001,11.354166666666666,79.41666666666667,58.833333333333336,25.85
2022-06-07,25.8,16.8,0.0,1008.2291666666666,12.2875,79.54166666666667,69.45833333333333,21.3
2022-06-08,26.2,19.5,0.0,1008.8625000000001,11.549999999999999,78.58333333333333,83.20833333333333,22.85
2022-06-09,27.7,20.4,0.0,1009.0916666666667,15.179166666666667,81.75,92.5,24.049999999999997
2022-06-10,23.1,19.6,0.8,1009.3625000000001,12.700000000000001,81.5,97.16666666666667,21.35
2022-06-11,25.3,19.1,0.3,1011.1374999999999,12.9,81.625,53.125,22.200000000000003
2022-06-12,22.5,19.6,17.1,1007.7875,8.8375,88.08333333333333,100.0,21.05
2022-06-13,24.3,18.5,5.7,1004.4875000000001,4.704166666666667,89.91666666666667,99.70833333333333,21.4
2022-06-14,28.6,19.9,8.8,1005.7624999999999,9.283333333333333,80.83333333333333,37.958333333333336,24.25
2022-06-15,31.5,21.0,0.0,1007.7624999999999,10.041666666666666,71.20833333333333,31.166666666666668,26.25
2022-06-16,32.2,21.2,0.0,1006.0833333333334,12.395833333333334,79.41666666666667,37.166666666666664,26.700000000000003
2022-06-17,32.9,21.5,0.0,1004.9791666666666,11.674999999999999,79.5,72.54166666666667,27.2
2022-06-18,30.7,23.6,0.0,1003.9416666666666,10.883333333333333,80.70833333333333,66.625,27.15
2022-06-19,29.6,23.0,1.6,1002.9375,8.179166666666667,83.25,100.0,26.3
2022-06-20,29.2,22.5,1.2,1001.3458333333333,10.008333333333333,86.16666666666667,42.666666666666664,25.85
2022-06-21,31.7,23.5,0.1,1004.0708333333333,11.416666666666666,81.83333333333333,72.83333333333333,27.6
2022-06-22,34.5,26.6,1.6,1004.5708333333333,16.400000000000002,69.91666666666667,31.75,30.55
2022-06-23,35.3,25.0,21.9,1002.7208333333333,16.304166666666667,71.125,99.33333333333333,30.15
2022-06-24,27.3,23.4,15.0,1003.9375,13.279166666666667,90.0,67.0,25.35
2022-06-25,31.7,25.9,0.1,1004.6374999999999,16.825,80.16666666666667,68.54166666666667,28.799999999999997
2022-06-26,33.4,26.8,0.0,1005.6,20.400000000000002,75.875,99.95833333333333,30.1
2022-06-27,33.9,26.7,0.0,1002.9458333333333,23.320833333333336,74.08333333333333,98.25,30.299999999999997
2022-06-28,34.1,25.7,9.0,1001.2666666666668,19.479166666666668,76.875,89.33333333333333,29.9
2022-06-29,33.1,26.4,3.0,1003.8583333333332,16.462500000000002,81.66666666666667,98.54166666666667,29.75
2022-06-30,31.2,25.2,9.3,1008.025,18.933333333333334,81.91666666666667,83.83333333333333,28.2
2022-07-01,30.6,24.3,0.6,1009.8000000000001,17.329166666666666,82.91666666666667,70.125,27.450000000000003
2022-07-02,30.6,24.3,0.6,1007.7208333333333,15.004166666666668,82.16666666666667,81.16666666666667,27.450000000000003
2022-07-03,31.4,24.4,0.3,1004.1958333333333,11.345833333333333,83.79166666666667,89.875,27.9
2022-07-04,32.9,25.0,0.0,1002.6833333333334,13.183333333333332,80.95833333333333,91.33333333333333,28.95
2022-07-05,34.4,27.1,1.7,1000.7791666666667,15.245833333333332,75.375,85.58333333333333,30.75
2022-07-06,35.7,27.5,0.8,1002.225,16.283333333333335,71.16666666666667,39.125,31.6
2022-07-07,34.7,26.9,11.3,1004.8541666666666,8.370833333333334,78.54166666666667,64.45833333333333,30.8
2022-07-08,36.8,27.6,1.5,1003.475,10.429166666666667,71.04166666666667,72.33333333333333,32.2
2022-07-09,34.9,27.1,11.5,1003.0500000000001,7.195833333333333,78.25,83.45833333333333,31.0
2022-07-10,35.1,27.2,14.8,1003.0333333333333,8.075000000000001,75.875,98.04166666666667,31.15
2022-07-11,35.4,26.6,1.3,1004.7916666666666,10.195833333333333,77.16666666666667,77.29166666666667,31.0
2022-07-12,38.7,28.3,0.0,1003.4375,11.112499999999999,72.66666666666667,92.25,33.5
2022-07-13,39.6,28.3,0.0,1002.0583333333334,11.049999999999999,64.125,95.0,33.95
2022-07-14,40.4,29.4,0.0,1001.0833333333334,11.295833333333334,56.208333333333336,95.45833333333333,34.9
2022-07-15,37.2,27.2,4.6,1000.1291666666666,8.804166666666665,74.16666666666667,99.04166666666667,32.2
2022-07-16,31.2,26.4,3.4,1000.9416666666666,9.683333333333334,83.875,90.5,28.799999999999997
