date,high_temp,low_temp,rain,pressure,wind_speed,humidity,cloudcover,avg_temp
2024-09-13,27.2,18.7,0.0,1004.4416666666666,9.104166666666666,60.875,56.833333333333336,22.95
2024-09-14,23.4,16.1,0.0,1008.3916666666668,8.404166666666667,64.41666666666667,90.95833333333333,19.75
2024-09-15,23.6,16.4,0.0,1008.9625,6.05,67.66666666666667,16.125,20.0
2024-09-16,26.2,18.7,0.0,1010.3249999999999,4.420833333333333,76.20833333333333,7.833333333333333,22.45
2024-09-17,28.4,19.7,0.0,1010.3916666666668,6.329166666666667,72.75,46.458333333333336,24.049999999999997
2024-09-18,28.2,19.3,0.0,1008.8958333333334,5.854166666666667,68.54166666666667,8.791666666666666,23.75
2024-09-19,28.7,18.1,7.3,1006.9333333333334,7.625,74.125,42.541666666666664,23.4
2024-09-20,18.5,11.4,5.7,1013.4416666666666,15.058333333333332,75.70833333333333,60.208333333333336,14.95
2024-09-21,22.4,13.0,0.0,1016.0875,18.820833333333333,43.0,6.041666666666667,17.7
2024-09-22,21.5,9.2,0.0,1015.9,7.862500000000001,61.958333333333336,18.5,15.35
2024-09-23,22.4,10.9,0.0,1011.1041666666666,7.9875,68.41666666666667,2.375,16.65
2024-09-24,24.0,13.9,3.2,1006.8083333333334,8.3375,75.45833333333333,18.166666666666668,18.95
2024-09-25,24.0,13.6,0.3,1010.5,9.770833333333334,73.45833333333333,19.125,18.8
2024-09-26,24.1,16.5,0.0,1010.6125000000001,6.133333333333333,69.70833333333333,83.29166666666667,20.3
2024-09-27,25.3,18.5,0.0,1010.0416666666666,8.304166666666667,66.54166666666667,77.54166666666667,21.9
2024-09-28,25.5,19.1,0.2,1009.9875000000001,6.654166666666666,78.875,93.75,22.3
2024-09-29,26.4,13.9,14.2,1010.4458333333333,15.75,69.58333333333333,99.95833333333333,20.15
2024-09-30,20.3,11.1,0.0,1014.1999999999999,16.320833333333333,53.0,44.208333333333336,15.7
2024-10-01,16.9,6.7,0.0,1016.4166666666666,16.4375,39.375,29.666666666666668,11.799999999999999
2024-10-02,17.9,6.8,0.0,1017.6125000000001,8.716666666666667,57.833333333333336,15.375,12.35
2024-10-03,21.1,9.2,0.0,1016.5124999999999,9.670833333333333,58.666666666666664,2.8333333333333335,15.15
2024-10-04,20.6,9.2,0.0,1015.625,6.795833333333333,69.875,22.541666666666668,14.9
2024-10-05,21.9,11.9,0.0,1015.475,5.3625,69.125,81.45833333333333,16.9
2024-10-06,19.1,10.2,1.3,1018.6458333333334,8.295833333333333,83.54166666666667,69.83333333333333,14.65
2024-10-07,19.9,8.3,0.0,1017.9083333333333,8.916666666666666,66.16666666666667,1.5833333333333333,14.1
2024-10-08,21.3,9.8,0.0,1012.625,7.3125,66.91666666666667,57.75,15.55
2024-10-09,20.7,10.2,0.0,1008.6875,8.466666666666667,67.0,27.5,15.45
2024-10-10,19.8,6.8,0.0,1011.4208333333332,9.299999999999999,51.875,0.0,13.3
2024-10-11,21.1,10.1,0.0,1012.0708333333333,6.383333333333333,67.91666666666667,0.0,15.600000000000001
2024-10-12,23.3,12.8,0.0,1015.2458333333334,7.658333333333334,73.0,63.916666666666664,18.05
